city_list,cloudiness,country,date,humidity,lat,long,max_temp,wind_speed
Jiazi,0,CN,2019-04-07,94,19.61,110.49,75.2,4.47
Maralal,0,KE,2019-04-07,83,1.1,36.7,60.37,4.63
Anadyr,0,RU,2019-04-07,72,64.73,177.51,10.4,6.71
Saint-Leu,0,RE,2019-04-07,73,-21.15,55.28,77.0,4.7
Erzin,75,TR,2019-04-07,77,36.95,36.2,61.0,9.17
Sorland,20,NO,2019-04-07,63,67.67,12.69,30.2,6.93
Kalmunai,8,LK,2019-04-07,100,7.42,81.82,73.87,2.95
Bonavista,56,CA,2019-04-07,84,48.65,-53.11,33.01,8.01
Smirnykh,56,RU,2019-04-07,91,49.74,142.83,25.9,7.09
Pangkalanbuun,36,ID,2019-04-07,91,-2.68,111.62,74.05,2.62
Pangnirtung,90,CA,2019-04-07,63,66.15,-65.72,26.6,6.93
Muyezerskiy,56,RU,2019-04-07,80,63.93,31.65,27.7,2.28
Mehamn,75,NO,2019-04-07,58,71.03,27.85,28.4,14.99
San Lazaro,20,BZ,2019-04-07,62,18.04,-88.66,87.8,9.17
Flin Flon,90,CA,2019-04-07,79,54.77,-101.88,23.0,8.05
Esperance,20,TT,2019-04-07,55,10.24,-61.45,86.0,12.75
Ahipara,76,NZ,2019-04-07,85,-35.17,173.16,63.52,15.93
Cedar City,1,US,2019-04-07,25,37.68,-113.06,68.0,3.36
Nalbari,40,IN,2019-04-07,94,26.45,91.44,68.0,3.18
Carolina,40,PR,2019-04-07,61,18.38,-65.96,84.2,19.46
Rundu,64,NA,2019-04-07,79,-17.91,19.77,66.49,5.64
Ambon,0,FR,2019-04-07,93,47.55,-2.56,48.99,3.36
Bozoum,80,CF,2019-04-07,96,6.31,16.38,69.1,9.66
Grindavik,75,IS,2019-04-07,100,63.84,-22.43,39.99,6.93
Karacakoy,75,TR,2019-04-07,87,41.4,28.38,57.2,4.7
Bocas del Toro,32,PA,2019-04-07,64,9.33,-82.25,62.01,1.99
Cairns,75,AU,2019-04-07,83,-16.92,145.77,73.99,12.75
Praia da Vitoria,40,PT,2019-04-07,76,38.73,-27.07,55.4,24.09
Qasigiannguit,24,GL,2019-04-07,83,68.82,-51.19,32.38,3.74
Ostrovnoy,68,RU,2019-04-07,86,68.05,39.51,24.28,7.99
Umm Lajj,12,SA,2019-04-07,71,25.02,37.27,70.54,4.18
Dunedin,0,NZ,2019-04-07,70,-45.87,170.5,57.0,17.0
Ljungby,90,SE,2019-04-07,49,56.83,13.94,46.4,11.41
Tselinnoye,44,UA,2019-04-07,78,45.9,34.18,49.3,12.01
Neepawa,20,CA,2019-04-07,66,50.23,-99.46,55.4,10.29
Suntar,0,RU,2019-04-07,76,62.16,117.65,21.58,5.86
Nevel,68,RU,2019-04-07,62,56.02,29.92,41.83,7.99
Klaksvik,64,FO,2019-04-07,65,62.23,-6.59,41.0,12.75
Palu,12,ID,2019-04-07,95,-0.9,119.87,65.68,1.61
Tromso,20,NO,2019-04-07,79,69.65,18.96,26.6,6.93
Chuguyevka,76,RU,2019-04-07,79,44.17,133.87,27.43,2.28
Taltal,0,CL,2019-04-07,72,-25.41,-70.49,67.48,3.74
Nanortalik,8,GL,2019-04-07,98,60.14,-45.24,31.66,1.16
Tessaoua,0,NE,2019-04-07,50,13.76,7.99,85.3,3.85
Champerico,40,MX,2019-04-07,22,16.38,-93.6,98.6,6.93
Tuatapere,0,NZ,2019-04-07,96,-46.13,167.69,46.0,5.19
Kavieng,80,PG,2019-04-07,100,-2.57,150.8,79.81,5.97
Belaya Gora,12,RU,2019-04-07,76,68.54,146.19,7.45,2.39
Lufilufi,40,WS,2019-04-07,66,-13.87,-171.6,89.6,8.05
Mosetse,44,BW,2019-04-07,79,-20.64,26.64,67.93,10.45
Cherskiy,0,RU,2019-04-07,63,68.75,161.3,9.16,2.39
Thunder Bay,90,CA,2019-04-07,100,48.41,-89.26,36.0,20.8
Seminole,1,US,2019-04-07,13,32.72,-102.64,80.6,3.36
Bud,75,NO,2019-04-07,51,62.91,6.91,39.0,13.87
Birao,0,CF,2019-04-07,21,10.3,22.78,78.46,9.44
Santa Vitoria do Palmar,0,BR,2019-04-07,83,-33.52,-53.37,69.19,3.74
Baiyin,0,CN,2019-04-07,48,36.55,104.13,39.2,6.71
Lompoc,1,US,2019-04-07,60,34.64,-120.46,80.6,16.11
Bria,0,CF,2019-04-07,38,6.54,21.99,84.85,13.69
Cape Canaveral,1,US,2019-04-07,65,28.41,-80.6,84.99,12.75
Petrila,0,RO,2019-04-07,46,45.44,23.38,53.6,3.36
Casa Nova,92,BR,2019-04-07,89,-11.77,-39.23,77.83,6.31
Nhulunbuy,68,AU,2019-04-07,94,-12.18,136.78,77.0,3.36
Santa Marta,12,CO,2019-04-07,95,11.24,-74.21,80.71,25.77
Nisia Floresta,40,BR,2019-04-07,83,-6.09,-35.21,82.4,6.93
Burgersdorp,44,ZA,2019-04-07,86,-30.99,26.32,52.45,6.42
Luganville,8,VU,2019-04-07,100,-15.51,167.18,81.25,12.68
Tokomaru,92,NZ,2019-04-07,88,-40.47,175.51,57.99,1.99
Hambantota,0,LK,2019-04-07,100,6.12,81.12,78.8,3.36
Port Blair,0,IN,2019-04-07,100,11.67,92.75,84.31,2.95
Tuktoyaktuk,90,CA,2019-04-07,78,69.44,-133.03,8.6,9.17
Florianopolis,75,BR,2019-04-07,94,-27.6,-48.55,72.0,14.99
Toora-Khem,88,RU,2019-04-07,75,52.47,96.11,24.1,4.41
Ribeira Brava,20,PT,2019-04-07,67,32.65,-17.07,60.8,4.7
Padang,56,ID,2019-04-07,100,-0.92,100.36,81.43,6.64
Palmer,40,AU,2019-04-07,82,-34.85,139.16,59.0,8.05
Hamilton,75,BM,2019-04-07,83,32.3,-64.78,71.6,6.93
Dondo,20,MZ,2019-04-07,78,-19.62,34.74,77.0,5.97
Port Moresby,36,PG,2019-04-07,96,-9.47,147.16,82.51,3.51
Sakaiminato,75,JP,2019-04-07,87,35.55,133.23,48.2,4.7
Nizhneudinsk,32,RU,2019-04-07,71,54.91,99.03,29.23,5.97
Sisimiut,92,GL,2019-04-07,88,66.94,-53.67,31.03,1.72
Dudinka,76,RU,2019-04-07,94,69.41,86.18,17.89,15.82
Yate,75,GB,2019-04-07,93,51.54,-2.41,52.0,4.7
Norman Wells,90,CA,2019-04-07,68,65.28,-126.83,28.4,6.93
Shakawe,24,BW,2019-04-07,61,-18.36,21.84,73.51,5.75
Estelle,90,US,2019-04-07,73,32.87,-97.01,73.0,6.93
Fare,64,PF,2019-04-07,97,-16.7,-151.02,84.67,16.26
Curvelo,48,BR,2019-04-07,63,-18.76,-44.43,80.17,3.62
Marawi,36,PH,2019-04-07,89,8.0,124.29,77.0,3.0
Karachi,0,PK,2019-04-07,78,24.87,67.03,78.8,5.82
Vanersborg,24,SE,2019-04-07,80,58.38,12.32,42.8,4.7
The Valley,20,AI,2019-04-07,65,18.22,-63.06,81.0,13.87
Port Lincoln,92,AU,2019-04-07,96,-34.72,135.86,63.79,16.82
Chatellerault,0,FR,2019-04-07,75,46.8,0.53,48.99,6.93
Huntingdon,90,GB,2019-04-07,100,52.33,-0.18,46.99,4.7
Kjollefjord,75,NO,2019-04-07,58,70.95,27.35,28.4,14.99
Sambava,80,MG,2019-04-07,100,-14.27,50.17,78.82,10.78
Longyearbyen,20,NO,2019-04-07,78,78.22,15.63,8.6,4.7
Umm Kaddadah,0,SD,2019-04-07,17,13.6,26.69,69.82,6.42
Tungor,8,RU,2019-04-07,87,53.39,142.95,17.35,4.41
Port Macquarie,36,AU,2019-04-07,72,-31.43,152.91,64.4,8.05
Armidale,0,AU,2019-04-07,79,-30.51,151.67,48.13,3.06
Volot,88,RU,2019-04-07,64,57.93,30.71,46.51,5.08
Mirnyy,36,RU,2019-04-07,72,56.57,36.46,35.89,9.22
Along,76,IN,2019-04-07,79,28.17,94.8,57.13,1.72
Khurda,75,IN,2019-04-07,88,20.18,85.62,80.6,4.7
Lorengau,92,PG,2019-04-07,100,-2.02,147.27,80.17,3.62
Thinadhoo,12,MV,2019-04-07,100,0.53,72.93,83.86,1.28
Rucheng,32,CN,2019-04-07,89,25.55,113.68,57.85,2.95
Miles City,90,US,2019-04-07,29,46.41,-105.84,66.2,23.04
Sidney,1,US,2019-04-07,23,47.72,-104.16,64.4,18.34
Villamontes,0,BO,2019-04-07,59,-21.26,-63.47,73.78,2.73
Tupik,12,RU,2019-04-07,77,54.43,119.94,15.64,2.51
North Platte,1,US,2019-04-07,19,41.12,-100.77,71.6,18.34
Soligalich,24,RU,2019-04-07,93,59.08,42.29,32.83,7.2
Darlawn,56,IN,2019-04-07,95,24.02,92.93,62.89,1.5
Iquitos,90,PE,2019-04-07,319,-3.75,-73.25,42.8,4.7
Izazi,8,TZ,2019-04-07,85,-7.24,35.72,68.65,3.18
Nikel,0,NO,2019-04-07,85,69.41,30.21,24.8,10.29
Narsaq,88,GL,2019-04-07,88,60.91,-46.05,32.0,3.36
Grand Gaube,40,MU,2019-04-07,74,-20.01,57.66,80.6,12.75
Pevek,36,RU,2019-04-07,100,69.7,170.27,-0.3,5.86
Catuday,0,PH,2019-04-07,98,16.29,119.81,79.9,4.07
Paramonga,64,PE,2019-04-07,93,-10.68,-77.82,69.1,6.87
Bam,64,IR,2019-04-07,40,29.11,58.36,60.91,6.64
Swellendam,0,ZA,2019-04-07,93,-34.02,20.44,60.8,1.12
Koulikoro,0,ML,2019-04-07,17,12.86,-7.56,93.2,8.05
Zabol,0,IR,2019-04-07,46,31.03,61.49,69.8,6.93
Derzhavinsk,0,KZ,2019-04-07,76,51.1,66.31,30.85,3.74
Linjiang,44,CN,2019-04-07,57,41.81,126.91,26.8,5.53
Pryazha,8,RU,2019-04-07,79,61.69,33.62,28.4,3.18
Nakamura,75,JP,2019-04-07,81,35.17,136.87,54.0,12.75
Broome,12,GB,2019-04-07,100,52.47,1.45,46.99,3.36
Luancheng,0,CN,2019-04-07,45,37.88,114.65,48.2,4.47
Hovd,75,NO,2019-04-07,69,63.83,10.7,39.0,8.05
Olga,1,US,2019-04-07,32,34.11,-118.17,86.0,4.7
Terrace Bay,90,CA,2019-04-07,100,48.78,-87.1,33.8,14.99
Golden,75,CA,2019-04-07,49,51.3,-116.96,48.2,11.41
Kushiro,0,JP,2019-04-07,79,43.11,144.15,21.58,2.95
San Carlos de Bariloche,0,AR,2019-04-07,15,-41.13,-71.31,75.2,14.99
Villa Bruzual,8,VE,2019-04-07,36,9.33,-69.12,94.3,5.41
Luanda,75,AO,2019-04-07,94,-8.83,13.24,77.0,3.36
Safranbolu,36,TR,2019-04-07,80,41.25,32.69,50.38,1.83
Saint Marys,1,US,2019-04-07,63,41.43,-78.56,68.0,6.93
Vila Velha,75,BR,2019-04-07,78,-3.71,-38.6,82.4,11.41
Eureka,90,US,2019-04-07,82,40.8,-124.16,64.0,17.22
Pacific Grove,1,US,2019-04-07,59,36.62,-121.92,78.01,5.82
Pompeu,20,BR,2019-04-07,69,-21.05,-48.85,80.6,2.24
Shenjiamen,0,CN,2019-04-07,88,29.96,122.3,58.3,1.72
Kokomo,90,US,2019-04-07,88,40.49,-86.13,71.01,13.87
Urucara,88,BR,2019-04-07,95,-2.54,-57.76,76.21,2.73
Novyy Urengoy,68,RU,2019-04-07,83,66.08,76.63,22.3,12.46
Venezuela,68,CU,2019-04-07,64,21.74,-78.8,85.93,8.66
Nioro,0,GM,2019-04-07,26,13.79,-15.05,88.81,9.78
Tanout,20,NE,2019-04-07,20,14.97,8.88,86.11,11.45
Chara,75,GR,2019-04-07,71,39.42,22.43,59.0,5.82
Moquegua,0,PE,2019-04-07,59,-17.19,-70.93,68.56,3.62
Vila Franca do Campo,20,PT,2019-04-07,54,37.72,-25.43,57.2,14.99
Yerbogachen,76,RU,2019-04-07,74,61.28,108.01,27.43,6.42
Anloga,40,GH,2019-04-07,88,5.79,0.9,77.0,6.93
Kenora,90,CA,2019-04-07,100,49.76,-94.48,39.2,3.36
Lloydminster,40,CA,2019-04-07,66,53.28,-110.01,50.0,4.7
Matagami,44,NG,2019-04-07,85,9.67,8.4,71.08,2.84
Bandarbeyla,0,SO,2019-04-07,100,9.49,50.81,79.9,6.64
Cayenne,75,GF,2019-04-07,83,4.94,-52.33,78.8,6.93
Partizansk,32,RU,2019-04-07,80,43.13,133.13,20.77,1.95
Talavera,75,PH,2019-04-07,83,15.58,120.92,80.6,4.7
Benguela,8,AO,2019-04-07,100,-12.58,13.4,78.55,4.97
Paraiso,20,MX,2019-04-07,12,24.01,-104.61,75.2,4.7
Jamame,0,SO,2019-04-07,95,0.07,42.75,74.68,5.19
Roald,75,NO,2019-04-07,55,62.58,6.12,39.0,26.4
Lasa,0,CY,2019-04-07,82,34.92,32.53,62.6,5.82
Killybegs,0,IE,2019-04-07,84,54.63,-8.45,46.0,5.01
Denizli,75,TR,2019-04-07,76,37.77,29.09,55.4,4.7
Oktyabrskiy,0,RU,2019-04-07,64,55.61,37.97,41.0,8.95
Constitucion,20,MX,2019-04-07,12,23.99,-104.67,75.2,4.7
Liverpool,0,GB,2019-04-07,76,53.41,-2.98,54.0,8.05
Saint-Georges,8,CA,2019-04-07,41,46.12,-70.67,45.0,3.0
Matay,92,EG,2019-04-07,35,28.42,30.79,80.26,14.47
Minot,1,US,2019-04-07,27,48.23,-101.3,64.4,21.92
Pokrovsk,64,UA,2019-04-07,50,48.28,37.18,50.47,11.45
Kungurtug,80,RU,2019-04-07,77,50.6,97.53,18.52,6.2
Katrineholm,0,SE,2019-04-07,65,59.0,16.21,43.0,5.82
Nabire,92,ID,2019-04-07,99,-3.36,135.5,67.93,2.17
Vengerovo,0,RU,2019-04-07,72,55.68,76.74,19.33,5.3
Binga,20,ZW,2019-04-07,76,-17.62,27.34,77.11,4.41
Srednekolymsk,56,RU,2019-04-07,82,67.46,153.71,9.7,3.18
Sistranda,20,NO,2019-04-07,74,63.73,8.83,37.0,2.24
Kushnarenkovo,92,RU,2019-04-07,93,55.11,55.34,35.08,9.44
Poum,92,MK,2019-04-07,96,41.28,20.71,46.69,1.28
Vinh,20,VN,2019-04-07,94,18.67,105.69,74.05,1.83
Tateyama,75,JP,2019-04-07,71,36.66,137.31,51.01,8.05
Mocuba,0,MZ,2019-04-07,78,-16.84,36.99,76.39,5.19
Saint-Ambroise,0,FR,2019-04-07,93,47.25,-0.65,48.0,6.64
Vizinga,88,RU,2019-04-07,96,61.08,50.08,34.45,5.53
Ustka,0,PL,2019-04-07,82,54.58,16.86,42.91,2.39
Columbus,1,US,2019-04-07,69,32.46,-84.99,81.0,6.93
Lang Son,92,VN,2019-04-07,96,21.83,106.73,72.97,6.42
Pokrovskoye,48,RU,2019-04-07,55,47.41,38.9,47.5,9.1
Shellbrook,90,CA,2019-04-07,80,53.22,-106.39,39.2,3.36
Angamali,40,IN,2019-04-07,88,10.2,76.4,80.6,2.62
Wattegama,8,LK,2019-04-07,96,7.35,80.68,68.65,2.62
Atherton,0,GB,2019-04-07,81,53.52,-2.49,53.6,6.93
Lagoa,40,PT,2019-04-07,87,37.14,-8.45,60.8,9.17
Great Falls,75,US,2019-04-07,38,47.5,-111.29,59.0,20.8
Bonfim,20,BR,2019-04-07,57,-20.33,-44.24,80.6,3.36
Verkhnyaya Inta,20,RU,2019-04-07,98,65.99,60.32,26.53,2.39
Minsk,0,BY,2019-04-07,75,53.9,27.56,42.8,4.47
Tikapur,8,NP,2019-04-07,78,28.53,81.12,59.02,2.84
Kasama,56,ZM,2019-04-07,78,-10.21,31.19,67.75,4.18
Funadhoo,68,MV,2019-04-07,100,6.15,73.27,84.4,2.73
Marzuq,0,YE,2019-04-07,79,14.4,46.47,55.24,2.51
Havoysund,75,NO,2019-04-07,73,71.0,24.66,28.4,20.8
Cockburn Town,0,TC,2019-04-07,97,21.46,-71.14,79.09,16.37
Bauchi,100,NG,2019-04-07,29,10.31,9.85,89.71,5.19
Destin,1,US,2019-04-07,78,30.39,-86.5,82.0,12.75
Bubaque,24,GW,2019-04-07,88,11.28,-15.83,84.31,12.91
Altay,56,CN,2019-04-07,88,47.83,88.13,16.72,2.17
Shimoda,75,JP,2019-04-07,87,34.7,138.93,55.4,4.7
Rosetta,0,EG,2019-04-07,72,31.4,30.42,66.2,6.93
Wilmington,1,US,2019-04-07,52,39.75,-75.55,70.0,18.34
Port Hardy,75,CA,2019-04-07,81,50.7,-127.42,50.0,13.87
Erechim,40,BR,2019-04-07,88,-27.64,-52.27,68.0,4.7
Prado,48,BR,2019-04-07,94,-17.34,-39.22,82.78,12.91
Flinders,0,AU,2019-04-07,76,-34.58,150.85,72.0,3.06
Namikupa,88,MZ,2019-04-07,92,-10.84,39.63,76.03,4.41
Bikaner,0,IN,2019-04-07,50,28.02,73.32,70.45,2.95
Tiznit,56,MA,2019-04-07,87,29.7,-9.73,59.92,9.33
Oussouye,0,SN,2019-04-07,60,12.49,-16.54,82.4,9.17
Hit,44,IQ,2019-04-07,70,33.64,42.83,61.09,5.3
Kaduqli,0,SD,2019-04-07,39,11.01,29.72,74.05,3.96
Ouro Preto do Oeste,56,BR,2019-04-07,80,-10.75,-62.22,78.82,2.73
Datong,20,CN,2019-04-07,58,40.09,113.3,32.74,3.29
Calbuco,20,CL,2019-04-07,72,-41.77,-73.13,66.2,10.29
Turukhansk,92,RU,2019-04-07,89,65.8,87.96,23.56,16.49
Uruzgan,0,AF,2019-04-07,82,32.93,66.63,30.49,1.5
Lonoy,64,PH,2019-04-07,95,11.51,122.55,74.86,3.74
Jiquinlaca,32,HN,2019-04-07,31,14.0,-88.35,91.6,3.62
Leduc,75,CA,2019-04-07,40,53.26,-113.55,57.0,9.17
Coquimbo,75,CL,2019-04-07,82,-29.95,-71.34,60.8,10.29
Almaznyy,0,RU,2019-04-07,75,48.03,40.04,42.8,6.71
Zapadnaya Dvina,56,RU,2019-04-07,61,56.26,32.09,41.2,9.78
Mbini,44,GQ,2019-04-07,99,1.58,9.62,81.16,4.97
Ossora,32,RU,2019-04-07,92,59.24,163.07,27.16,13.24
Seymchan,0,RU,2019-04-07,72,62.93,152.39,11.77,3.51
Christchurch,64,NZ,2019-04-07,100,-43.53,172.64,57.99,2.24
Pakdasht,40,IR,2019-04-07,76,35.48,51.68,55.4,4.7
Owando,100,CG,2019-04-07,93,-0.49,15.91,70.9,1.72
Sobolevo,92,RU,2019-04-07,80,54.43,31.9,43.81,8.32
Ust-Koksa,12,RU,2019-04-07,83,50.27,85.62,11.68,1.95
Bay Roberts,90,CA,2019-04-07,71,47.58,-53.28,35.01,11.41
Honningsvag,75,NO,2019-04-07,68,70.98,25.97,28.4,10.29
Koshki,92,RU,2019-04-07,94,54.2,50.47,33.55,2.62
Dumas,0,IN,2019-04-07,92,21.09,72.71,83.23,11.01
Chapais,1,CA,2019-04-07,38,49.78,-74.86,26.6,6.93
Arman,20,RU,2019-04-07,68,59.7,150.17,20.86,4.41
Sept-Iles,75,CA,2019-04-07,23,50.2,-66.38,26.6,17.22
Kiunga,68,PG,2019-04-07,92,-6.12,141.3,75.13,1.72
Chalmette,90,US,2019-04-07,78,29.94,-89.96,82.4,9.17
Dasoguz,0,TM,2019-04-07,66,41.84,59.97,51.8,6.93
Mabaruma,8,GY,2019-04-07,73,8.2,-59.78,81.07,8.55
Port-Cartier,75,CA,2019-04-07,23,50.03,-66.88,26.6,17.22
Novopokrovka,92,RU,2019-04-07,98,45.85,134.51,28.96,2.51
Rawson,92,AR,2019-04-07,34,-43.3,-65.11,78.19,6.53
Gat,0,SN,2019-04-07,29,14.69,-16.54,89.6,4.7
Ostersund,90,SE,2019-04-07,80,63.18,14.64,30.2,12.75
Ormara,0,PK,2019-04-07,80,25.21,64.64,78.1,10.45
